flight_date,airport,city,state,departure_delay_min,arrival_delay_min,distance_km,airline_delay_min,weather_delay_min,airport_traffic_delay_min,security_check_delay_min,previous_flight_delay_min
2016-07-01,BOS,Boston,Massachusetts,-6,-4,300.9,0,0,0,0,0
2016-07-02,BOS,Boston,Massachusetts,-6,-8,300.9,0,0,0,0,0
2016-07-04,BOS,Boston,Massachusetts,1,-5,300.9,0,0,0,0,0
2016-07-05,BOS,Boston,Massachusetts,-4,-2,300.9,0,0,0,0,0
2016-07-06,BOS,Boston,Massachusetts,-8,-12,300.9,0,0,0,0,0
2016-07-07,BOS,Boston,Massachusetts,-5,5,300.9,0,0,0,0,0
2016-07-08,BOS,Boston,Massachusetts,-4,-6,300.9,0,0,0,0,0
2016-07-09,BOS,Boston,Massachusetts,-4,-1,300.9,0,0,0,0,0
2016-07-11,BOS,Boston,Massachusetts,-5,-10,300.9,0,0,0,0,0
2016-07-12,BOS,Boston,Massachusetts,-11,11,300.9,0,0,0,0,0
2016-07-13,BOS,Boston,Massachusetts,-7,-8,300.9,0,0,0,0,0
2016-07-14,BOS,Boston,Massachusetts,40,41,300.9,40,0,1,0,0
2016-07-15,BOS,Boston,Massachusetts,0,8,300.9,0,0,0,0,0
2016-07-16,BOS,Boston,Massachusetts,-5,-18,300.9,0,0,0,0,0
2016-07-18,BOS,Boston,Massachusetts,-5,-1,300.9,0,0,0,0,0
2016-07-19,BOS,Boston,Massachusetts,-4,-10,300.9,0,0,0,0,0
2016-07-20,BOS,Boston,Massachusetts,-9,-12,300.9,0,0,0,0,0
2016-07-21,BOS,Boston,Massachusetts,105,107,300.9,105,0,2,0,0
2016-07-22,BOS,Boston,Massachusetts,-7,-5,300.9,0,0,0,0,0
2016-07-23,BOS,Boston,Massachusetts,21,29,300.9,21,0,8,0,0
2016-07-27,BOS,Boston,Massachusetts,-7,-2,300.9,0,0,0,0,0
2016-07-28,BOS,Boston,Massachusetts,-11,-2,300.9,0,0,0,0,0
2016-07-29,BOS,Boston,Massachusetts,-3,-4,300.9,0,0,0,0,0
2016-07-30,BOS,Boston,Massachusetts,48,70,300.9,48,0,22,0,0
2016-07-01,JFK,New York,New York,16,22,3982.3,0,0,6,0,16
2016-07-02,JFK,New York,New York,1,0,3982.3,0,0,0,0,0
2016-07-03,JFK,New York,New York,0,-3,3982.3,0,0,0,0,0
2016-07-04,JFK,New York,New York,-3,-16,3982.3,0,0,0,0,0
2016-07-05,JFK,New York,New York,44,21,3982.3,21,0,0,0,0
2016-07-06,JFK,New York,New York,-6,7,3982.3,0,0,0,0,0
2016-07-07,JFK,New York,New York,-2,-8,3982.3,0,0,0,0,0
2016-07-08,JFK,New York,New York,-7,0,3982.3,0,0,0,0,0
